PACKAGE	54.85						Shows	85	54.85						
PACKAGE	56.19						Shows	84	56.19						
PACKAGE	59.04						Shows	14	59.04						
PACKAGE	60.79						Shows	88	60.79						
PACKAGE	61.58						Shows	22	61.58						
PACKAGE	68.64						Shows	70	68.64						
PACKAGE	73.94						Shows	100	73.94						
PACKAGE	82.73						Shows	82	82.73						
PACKAGE	82.86						Shows	65	82.86						
PACKAGE	83.06						Shows	77	83.06						
PACKAGE	83.30						Shows	49	83.30						
PACKAGE	85.46						Shows	5	85.46						
PACKAGE	86.11						Shows	91	86.11						
PACKAGE	90.25						Shows	42	90.25						
PACKAGE	94.31						Shows	31	94.31						
PACKAGE	95.81						Shows	23	95.81						
PACKAGE	97.82						Shows	60	97.82						
PACKAGE	99.62						Shows	75	99.62						
PACKAGE	102.88						Shows	57	102.88						
PACKAGE	103.66						Shows	68	103.66						
PACKAGE	105.77						Shows	41	105.77						
PACKAGE	110.18						Shows	13	110.18						
PACKAGE	112.75						Shows	37	112.75						
PACKAGE	113.14						Shows	95	113.14						
PACKAGE	116.64						Shows	59	116.64						
PACKAGE	119.70						Shows	48	119.70						
PACKAGE	119.89						Shows	67	119.89						
PACKAGE	123.17						Shows	55	123.17						
PACKAGE	125.90						Shows	83	125.90						
PACKAGE	134.52						Shows	56	134.52						
PACKAGE	136.70						Shows	72	136.70						
PACKAGE	136.92						Shows	34	136.92						
PACKAGE	137.59						Shows	36	137.59						
PACKAGE	140.13						Shows	40	140.13						
PACKAGE	141.81						Shows	46	141.81						
PACKAGE	143.05						Shows	61	143.05						
PACKAGE	151.32						Shows	27	151.32						
PACKAGE	153.95						Shows	8	153.95						
PACKAGE	156.15						Shows	16	156.15						
PACKAGE	159.30						Shows	99	159.30						
PACKAGE	161.80						Shows	52	161.80						
PACKAGE	162.22						Shows	50	162.22						
PACKAGE	166.88						Shows	19	166.88						
PACKAGE	166.91						Shows	28	166.91						
PACKAGE	167.51						Shows	25	167.51						
PACKAGE	169.05						Shows	76	169.05						
PACKAGE	170.70						Shows	12	170.70						
PACKAGE	171.63						Shows	10	171.63						
PACKAGE	175.69						Shows	92	175.69						
PACKAGE	177.33						Shows	32	177.33						
PACKAGE	177.33						Shows	32	177.33						
PACKAGE	180.28						Shows	29	180.28						
PACKAGE	182.21						Shows	90	182.21						
PACKAGE	182.45						Shows	81	182.45						
PACKAGE	182.72						Shows	43	182.72						
PACKAGE	183.28						Shows	2	183.28						
PACKAGE	189.57						Shows	1	189.57						
PACKAGE	194.32						Shows	47	194.32						
PACKAGE	196.48						Shows	78	196.48						
PACKAGE	196.96						Shows	24	196.96						
PACKAGE	198.37						Shows	54	198.37						
